experiment_id,run_number,platform,injection_type,conclusion,mttr_seconds,started_at,collected_at,m13_classification,m14_risk_level,run_url
E8,1,github,flaky_flask,success,170,2026-05-10T17:11:32Z,2026-05-10T17:14:29.592942+00:00,,medium,https://github.com/k6gnn/experiment-flask/actions/runs/25634760353
E8,2,github,flaky_flask,success,157,2026-05-10T17:14:56Z,2026-05-10T17:17:48.493041+00:00,,medium,https://github.com/k6gnn/experiment-flask/actions/runs/25634833002
E8,3,github,flaky_flask,success,160,2026-05-10T17:18:15Z,2026-05-10T17:21:07.560236+00:00,,medium,https://github.com/k6gnn/experiment-flask/actions/runs/25634902018

E8b,1,github,config_flask,failure,89,2026-05-10T20:53:28Z,2026-05-10T20:55:01.746601+00:00,,medium,https://github.com/k6gnn/experiment-flask/actions/runs/25639511674
E8b,2,github,config_flask,failure,85,2026-05-10T20:55:24Z,2026-05-10T20:57:01.252588+00:00,,high,https://github.com/k6gnn/experiment-flask/actions/runs/25639552957
E8b,3,github,config_flask,failure,84,2026-05-10T20:57:39Z,2026-05-10T20:59:18.509523+00:00,,high,https://github.com/k6gnn/experiment-flask/actions/runs/25639599619

E8c,1,github,infra_flask,failure,101,2026-05-10T21:21:50Z,2026-05-10T21:23:42.850864+00:00,,medium,https://github.com/k6gnn/experiment-flask/actions/runs/25640117509
E8c,2,github,infra_flask,failure,115,2026-05-10T21:24:13Z,2026-05-10T21:26:20.885713+00:00,,high,https://github.com/k6gnn/experiment-flask/actions/runs/25640167548
E8c,3,github,infra_flask,failure,110,2026-05-10T21:26:51Z,2026-05-10T21:28:43.426717+00:00,,high,https://github.com/k6gnn/experiment-flask/actions/runs/25640220719
